City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Erenhot,CN,2021-05-24 17:01:10,43.6475,111.9767,50.23,33,81,14.67
69,Holetown,BB,2021-05-24 17:01:11,13.1867,-59.6381,81.63,68,54,18.7
70,Georgetown,MY,2021-05-24 16:58:52,5.4112,100.3354,84.15,80,20,1.99
71,Nikolskoye,RU,2021-05-24 17:01:11,59.7035,30.7861,58.89,64,8,7.65
72,Neuquen,AR,2021-05-24 17:01:11,-38.9516,-68.0591,62.69,41,86,28.43
73,Longyearbyen,SJ,2021-05-24 16:56:22,78.2186,15.6401,30.04,69,40,12.66
74,Tessalit,ML,2021-05-24 17:01:12,20.1986,1.0114,107.98,7,67,6.73
75,Esperance,AU,2021-05-24 17:01:12,-33.8667,121.9,56.35,64,99,25.1
76,Newton,US,2021-05-24 17:00:41,42.337,-71.2092,71.22,40,54,3.0
77,Bluff,NZ,2021-05-24 17:01:13,-46.6,168.3333,40.08,79,7,8.34
78,Lagoa,PT,2021-05-24 17:01:13,39.05,-27.9833,61.39,67,100,11.81
79,Minab,IR,2021-05-24 17:01:13,27.1467,57.0801,89.1,56,0,5.44
80,Itacarambi,BR,2021-05-24 17:01:14,-15.1022,-44.0919,96.93,22,58,3.13
81,Busselton,AU,2021-05-24 17:01:14,-33.65,115.3333,48.04,68,99,8.05
82,Novosergiyevka,RU,2021-05-24 17:01:15,52.0934,53.6528,75.92,35,0,6.73
83,Lovozero,RU,2021-05-24 17:01:15,68.005,35.0117,34.56,67,99,12.35
84,Mar Del Plata,AR,2021-05-24 17:01:15,-38.0023,-57.5575,62.13,56,53,14.0
85,Narsaq,GL,2021-05-24 17:01:16,60.9167,-46.05,46.62,51,100,9.01
86,Maneadero,MX,2021-05-24 17:01:16,31.7167,-116.5667,78.19,78,0,3.0
87,Kapaa,US,2021-05-24 17:01:16,22.0752,-159.319,69.19,76,20,3.0
88,Tuktoyaktuk,CA,2021-05-24 17:01:17,69.4541,-133.0374,30.2,93,90,9.22
89,Urdoma,RU,2021-05-24 17:01:17,61.7533,48.5442,52.59,73,60,11.14
90,Kahului,US,2021-05-24 17:01:17,20.8947,-156.47,72.68,80,25,2.75
91,Castro,BR,2021-05-24 17:01:18,-24.7911,-50.0119,59.22,47,41,8.03
92,Punta Arenas,CL,2021-05-24 17:01:18,-53.15,-70.9167,39.11,70,85,24.02
93,Chicama,PE,2021-05-24 17:01:19,-7.8447,-79.1469,74.97,66,37,7.72
94,Tarakan,ID,2021-05-24 17:01:19,3.3,117.6333,82.65,76,92,7.34
95,Puerto Ayora,EC,2021-05-24 17:01:19,-0.7393,-90.3518,76.55,84,57,7.0
96,Algeciras,ES,2021-05-24 17:01:12,36.1333,-5.4505,74.88,29,0,9.22
97,Victoria,HK,2021-05-24 16:57:30,22.2855,114.1577,86.32,86,99,1.01
98,Barrow,US,2021-05-24 17:01:20,71.2906,-156.7887,26.62,80,90,12.66
99,Stornoway,GB,2021-05-24 17:01:20,58.2093,-6.3865,49.96,76,75,26.46
100,Bayji,IQ,2021-05-24 17:01:20,34.9311,43.487,86.29,16,79,10.54
101,Teknaf,BD,2021-05-24 17:01:21,20.8624,92.3058,81.68,84,100,21.47
102,Sobolevo,RU,2021-05-24 17:01:21,54.4299,31.8996,53.91,81,41,6.02
103,Batagay,RU,2021-05-24 17:01:21,67.6333,134.6333,42.37,42,4,4.68
104,Catabola,AO,2021-05-24 17:01:22,-12.15,17.2833,62.11,43,38,0.74
105,Dikson,RU,2021-05-24 17:01:22,73.5069,80.5464,27.73,82,100,12.86
106,Cape Canaveral,US,2021-05-24 17:01:22,28.4058,-80.6048,87.06,52,0,9.17
107,Ouesso,CG,2021-05-24 17:01:23,1.6136,16.0517,77.41,79,62,3.83
108,Lida,BY,2021-05-24 17:01:23,53.8833,25.2997,57.87,71,58,1.48
109,Yeniseysk,RU,2021-05-24 17:01:23,58.4497,92.1703,51.87,88,93,9.62
110,Vardo,NO,2021-05-24 17:01:24,70.3705,31.1107,39.4,52,75,3.44
111,Westport,US,2021-05-24 17:00:52,41.1415,-73.3579,69.1,53,99,1.01
112,Broken Hill,AU,2021-05-24 17:01:24,-31.95,141.4333,62.62,45,2,23.42
113,Mahebourg,MU,2021-05-24 17:01:24,-20.4081,57.7,74.66,68,62,15.93
114,Carnarvon,AU,2021-05-24 17:01:25,-24.8667,113.6333,64.45,57,10,17.74
115,Khatanga,RU,2021-05-24 17:01:25,71.9667,102.5,31.55,100,100,3.49
116,Luderitz,NA,2021-05-24 17:01:25,-26.6481,15.1594,69.53,50,95,4.68
117,Suez,EG,2021-05-24 17:01:26,29.9737,32.5263,78.67,33,2,15.08
118,Rocha,UY,2021-05-24 17:00:13,-34.4833,-54.3333,59.76,58,36,15.12
119,Kyabe,TD,2021-05-24 17:01:26,9.4515,18.9449,95.43,24,77,2.19
120,Yulara,AU,2021-05-24 17:01:26,-25.2406,130.9889,64.63,62,100,9.37
121,Vestmannaeyjar,IS,2021-05-24 17:01:27,63.4427,-20.2734,49.19,66,40,18.41
122,Biltine,TD,2021-05-24 17:01:27,14.5333,20.9167,94.69,6,6,8.39
123,Jamestown,US,2021-05-24 16:57:58,42.097,-79.2353,75.02,59,81,3.0
124,Sitka,US,2021-05-24 16:59:04,57.0531,-135.33,49.37,76,96,3.6
125,Springbok,ZA,2021-05-24 17:01:27,-29.6643,17.8865,63.32,34,100,3.36
126,Fortuna,US,2021-05-24 17:01:28,40.5982,-124.1573,58.35,67,20,1.99
127,Coahuayana,MX,2021-05-24 17:01:28,18.7333,-103.6833,91.24,34,1,6.82
128,Arraial Do Cabo,BR,2021-05-24 17:01:29,-22.9661,-42.0278,73.53,68,80,18.72
129,Pacasmayo,PE,2021-05-24 17:01:29,-7.4006,-79.5714,71.24,75,72,9.51
130,Severo-Kurilsk,RU,2021-05-24 17:01:29,50.6789,156.125,38.53,83,100,13.22
131,Thai Nguyen,VN,2021-05-24 17:00:53,21.5928,105.8442,80.38,82,95,3.87
132,Ulaanbaatar,MN,2021-05-24 16:59:25,47.9077,106.8832,44.73,91,90,3.74
133,Itarema,BR,2021-05-24 17:01:30,-2.9248,-39.9167,86.79,63,82,14.2
134,Sistranda,NO,2021-05-24 17:01:30,63.7256,8.834,62.56,82,17,16.87
135,Hermanus,ZA,2021-05-24 17:01:30,-34.4187,19.2345,62.91,79,89,11.92
136,Provideniya,RU,2021-05-24 17:01:31,64.3833,-173.3,35.19,76,99,20.98
137,Naze,JP,2021-05-24 17:01:31,28.3667,129.4833,70.75,86,98,8.12
138,Mount Gambier,AU,2021-05-24 17:01:32,-37.8333,140.7667,67.91,42,100,21.85
139,Kawalu,ID,2021-05-24 17:01:32,-7.3817,108.2082,73.35,98,89,0.47
