City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
107,Harper,LR,79.99,moderate rain,4.375,-7.7169,Screensaver
109,Faya,SA,88.32,clear sky,18.3851,42.4509,مقبرة ال مجمل
110,Itoman,JP,77.4,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
113,Mayo,US,59.18,clear sky,38.8876,-76.5119,Resorts Resource Group International
114,Lebu,CL,57.18,moderate rain,-37.6167,-73.65,Hostal Las Lilas
115,Saint-Philippe,RE,80.47,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
116,Prien,US,69.78,overcast clouds,30.1819,-93.2738,Wingate by Wyndham Lake Charles Casino Area
120,Half Moon Bay,US,59.32,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
123,Dailly,CH,69.01,clear sky,46.2,7.0333,Hôtel de la Dent-du-Midi
124,Samarai,PG,79.23,overcast clouds,-10.6167,150.6667,Nuli Sapi
125,Banda Aceh,ID,82.08,light rain,5.5577,95.3222,Sulthan Hotel International
127,Broken Hill,AU,50.0,light rain,-31.95,141.4333,Royal Exchange Hotel
128,Alofi,NU,73.4,light rain,-19.0595,-169.9187,Taloa Heights
129,Palmer,US,51.91,overcast clouds,42.1584,-72.3287,Wedgewood Motel
130,Roma,US,54.9,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
131,Victoria,HK,86.04,moderate rain,22.2855,114.1577,Mini Hotel Central
132,Georgetown,MY,87.89,light rain,5.4112,100.3354,Cititel Penang
134,Lewiston,US,51.37,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
135,Denpasar,ID,80.26,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
138,Ketchikan,US,55.38,light rain,55.3422,-131.6461,Snows Cove Lodge
141,Port Lincoln,AU,58.03,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
142,Airai,TL,61.16,overcast clouds,-8.9266,125.4092,Juvinal Martin
144,Opuwo,,81.09,overcast clouds,-18.0607,13.84,ABBA Guesthouse
145,Cherskiy,RU,57.69,few clouds,68.75,161.3,Gostinitsa
147,Vokhma,RU,56.12,few clouds,58.9303,46.7586,"Gostinitsa ""Yelki-Palki"""
148,Hermanus,ZA,63.81,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
151,Tupik,RU,50.88,light rain,54.4253,119.9327,Guest House Orkhideya
152,Xixiang,CN,85.42,light rain,35.1628,112.865,Sanmao Hotel Hotel
154,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
