City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Nikolskoye,RU,59.7035,30.7861,59.81,39,100,4.21,light rain
80,Smithers,CA,54.7804,-127.1743,48.52,93,90,4.61,overcast clouds
81,Loiza,PR,18.4313,-65.8802,82.96,83,40,12.39,scattered clouds
82,Ixtapa,MX,20.7,-105.2,73.22,83,20,0.0,few clouds
83,North Platte,US,41.1239,-100.7654,48.09,97,90,1.01,overcast clouds
84,Jamestown,US,42.097,-79.2353,54.72,87,1,1.01,clear sky
85,Litovko,RU,49.2361,135.1742,54.1,53,1,3.42,clear sky
86,Pangkalanbuun,ID,-2.6833,111.6167,76.33,96,48,2.33,light rain
87,Malindi,KE,-3.2175,40.1191,84.36,74,40,20.71,scattered clouds
88,Urumqi,CN,43.801,87.6005,87.8,9,0,8.95,clear sky
89,Clyde River,CA,70.4692,-68.5914,23.0,100,90,6.91,mist
90,Guerrero Negro,MX,27.9769,-114.0611,56.89,89,1,8.32,clear sky
91,Humberto De Campos,BR,-2.5983,-43.4611,81.9,80,15,5.28,few clouds
92,Saint George,US,37.1041,-113.5841,68.0,17,1,5.75,clear sky
93,Vaini,TO,-21.2,-175.2,73.56,83,90,9.22,light rain
94,Bredasdorp,ZA,-34.5322,20.0403,63.28,63,41,15.99,light rain
95,Narsaq,GL,60.9167,-46.05,44.82,50,61,2.82,broken clouds
96,Dongsheng,CN,39.8161,109.9776,65.34,21,31,14.36,scattered clouds
97,Taiyuan,CN,37.8694,112.5603,66.2,59,0,2.24,clear sky
98,Albany,US,42.6001,-73.9662,50.81,92,100,4.36,overcast clouds
99,Carnarvon,AU,-24.8667,113.6333,62.67,82,3,9.22,clear sky
100,Pascagoula,US,30.3658,-88.5561,66.25,88,1,8.46,clear sky
101,Gloucester,GB,51.8657,-2.2431,71.51,61,20,4.61,few clouds
102,Northam,GB,51.0333,-4.2167,69.48,72,16,11.97,few clouds
103,Vostok,RU,46.4856,135.8833,43.32,95,54,4.23,broken clouds
104,Nanortalik,GL,60.1432,-45.2371,38.08,80,9,15.68,clear sky
105,Lasa,IT,46.6166,10.7002,75.2,34,0,6.91,clear sky
106,Kenora,CA,49.8167,-94.4337,47.37,93,20,6.91,few clouds
107,Harper,LR,4.375,-7.7169,79.99,84,100,7.72,moderate rain
